[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.66
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.66
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.58
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.57
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.45
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.31
[2025-07-23 17:29:15] (Elapsed: 7.14s) Detected: car with confidence 0.30
[2025-07-23 17:29:15] (Elapsed: 7.14s) Processing frame 15
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.88
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.81
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.80
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.80
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.75
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.73
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.71
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.64
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.63
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.61
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.49
[2025-07-23 17:29:15] (Elapsed: 7.33s) Detected: car with confidence 0.28
[2025-07-23 17:29:15] (Elapsed: 7.33s) Processing frame 16
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.89
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.84
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.80
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.78
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.73
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.72
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.70
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.66
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.56
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.55
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.44
[2025-07-23 17:29:15] (Elapsed: 7.60s) Detected: car with confidence 0.29
[2025-07-23 17:29:15] (Elapsed: 7.60s) Processing frame 17
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.87
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.85
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.80
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.79
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.78
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.76
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.70
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.70
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.61
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.37
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.33
[2025-07-23 17:29:15] (Elapsed: 7.76s) Detected: car with confidence 0.27
[2025-07-23 17:29:15] (Elapsed: 7.76s) Processing frame 18
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.85
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.85
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.81
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.80
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.76
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.75
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.72
[2025-07-23 17:29:16] (Elapsed: 7.95s) Detected: car with confidence 0.61
